iter	RMSE
308	87168.08923
309	87071.59435
310	87044.63322
311	86996.44223
312	86883.78394
313	86863.79906
314	86810.22326
315	86761.38935
316	86669.7761
317	86528.4598
318	86497.87998
319	86403.61213
320	86364.65882
321	86310.86066
322	86209.96908
323	86190.77936
324	86118.04027
325	86047.63539
326	85962.14005
327	85807.30569
328	85733.0639
329	85663.24853
330	85530.15106
331	85468.11155
332	85386.15002
333	85316.77384
334	85265.42761
335	85153.88636
336	85034.50358
337	84939.84353
338	84874.48846
339	84833.35384
340	84760.2447
341	84668.0893
342	84595.21436
343	84472.33594
344	84417.13344
345	84363.04554
346	84300.53238
347	84296.10338
348	84144.96862
349	84127.50371
350	84107.82557
351	84076.01322
352	83987.49394
353	83871.40148
354	83762.76374
355	83707.84087
356	83622.13061
357	83520.31896
358	83474.38877
359	83357.39372
360	83286.39043
361	83215.69646
362	83171.149
363	83032.42691
364	82944.66448
365	82891.38006
366	82816.47594
367	82722.69079
368	82700.43308
369	82641.5361
370	82592.19882
371	82520.86799
372	82445.42261
373	82332.12784
374	82312.68412
375	82264.9669
376	82192.10936
377	82111.34743
378	82052.62173
379	81996.1536
380	81907.07527
381	81871.60137
382	81811.37063
383	81784.93105
384	81733.64774
385	81628.35114
386	81621.03948
387	81509.82431
388	81501.63936
389	81457.91784
390	81390.27437
391	81267.93358
392	81222.77783
393	81188.82572
394	81147.50139
395	81106.78071
396	81023.43552
397	80972.77493
398	80953.22971
399	80888.91585
400	80844.19516
401	80788.85515
402	80782.41348
403	80767.92995
404	80701.65076
405	80658.28691
406	80646.55837
407	80606.24323
408	80528.58607
409	80518.83475
410	80427.90857
411	80318.37294
412	80246.80405
413	80174.20403
414	80126.57056
415	80081.83071
416	79980.01421
417	79886.63064
418	79831.90331
419	79801.32332
420	79738.20345
421	79653.68271
422	79564.87649
423	79519.02882
424	79431.94315
425	79357.15195
426	79326.01676
427	79261.39045
428	79247.42994
429	79167.33654
430	79151.47089
431	79109.35456
432	79084.34835
433	79060.70745
434	78979.70834
435	78920.25994
436	78860.11914
437	78851.4004
438	78842.28861
439	78759.82105
440	78752.45279
441	78747.86669
442	78688.10343
443	78650.45399
444	78633.91186
445	78598.94073
446	78478.96537
447	78445.4261
448	78408.04836
449	78339.22946
450	78317.43717
451	78240.6414
452	78178.69897
453	78064.72737
454	78061.18568
455	78032.7901
456	77949.96049
457	77884.73874
458	77830.50833
459	77737.63107
460	77672.28047
461	77626.75686
462	77573.54852
463	77540.15086
464	77478.90835
465	77442.21382
466	77338.74614
467	77276.01566
468	77223.94025
469	77200.25917
470	77173.78269
471	77131.76797
472	77039.86205
473	76996.61454
474	76982.65763
475	76932.04546
476	76861.30609
477	76837.50033
478	76810.15176
479	76761.638
480	76709.19371
481	76681.26238
482	76589.09622
483	76535.49768
484	76477.43848
485	76438.32821
486	76366.06433
487	76308.49763
488	76250.41506
489	76209.47827
490	76202.17972
491	76172.8884
492	76135.37559
493	76065.02303
494	75986.68694
495	75937.86027
496	75876.62001
497	75808.9134
498	75771.29518
499	75742.31187
500	75713.61432
501	75663.13676
502	75613.97694
503	75531.18812
504	75511.33444
505	75480.82244
506	75453.91146
507	75394.75617
508	75350.85277
509	75318.93794
510	75296.14134
511	75283.06887
512	75258.8864
513	75227.59035
514	75160.19487
515	75120.84014
516	75084.1928
517	75019.72637
518	75010.23341
519	74929.42482
520	74896.1369
521	74885.39183
522	74869.9702
523	74792.33062
524	74723.04041
525	74704.47616
526	74656.58473
527	74614.28783
528	74581.22144
529	74511.54626
530	74464.56594
531	74391.56469
532	74353.25711
533	74252.21126
534	74220.69285
535	74140.96595
536	74084.92398
537	74050.96882
538	74021.47391
539	73982.24112
540	73932.51539
541	73892.67876
542	73871.58862
543	73825.88624
544	73798.28963
545	73786.75487
546	73781.96056
547	73761.65481
548	73751.04845
549	73673.99792
550	73625.38739
551	73579.19366
552	73563.76958
553	73505.32125
554	73488.13096
555	73467.55784
556	73447.27919
557	73426.2439
558	73371.19208
559	73328.72212
560	73299.8704
561	73274.95204
562	73243.78899
563	73230.24662
564	73167.00406
565	73156.71505
566	73124.44083
567	73067.18207
568	73046.22889
569	72997.57966
570	72961.80735
571	72933.79618
572	72891.74961
573	72837.39373
574	72792.97661
575	72747.64576
576	72721.10491
577	72651.22643
578	72643.4147
579	72634.68942
580	72592.05976
581	72546.88113
582	72525.55553
583	72476.54809
584	72427.5134
585	72399.9104
586	72368.33671
587	72317.76163
588	72306.20671
589	72283.43336
590	72274.8875
591	72231.55478
592	72208.86076
593	72179.16205
594	72171.07263
595	72163.66672
596	72090.64331
597	72043.07734
598	72007.84284
599	71969.58374
600	71950.59573
601	71870.50366
602	71822.62087
603	71798.96034
604	71752.41627
605	71716.4532
606	71677.98676
607	71628.18897
608	71573.01457
609	71527.13862
610	71475.32736
611	71419.27487
612	71391.40916
613	71346.35533
614	71306.72057
615	71268.73157
616	71249.46022
617	71226.41606
618	71191.83786
619	71178.57991
620	71131.22005
621	71095.63416
622	71083.45179
623	71048.15871
624	71042.30209
625	71025.64642
626	70977.33415
627	70946.42649
628	70886.77054
629	70821.52355
630	70752.34083
631	70723.99357
632	70706.43565
633	70685.82051
634	70637.36153
635	70604.93074
636	70547.57727
637	70521.20773
638	70501.47855
639	70461.28265
640	70387.3839
641	70359.42408
642	70317.89471
643	70271.65873
644	70251.57325
645	70197.41731
646	70144.57315
647	70108.86804
648	70034.72617
649	69997.21421
650	69949.81447
651	69890.72012
652	69834.89315
653	69792.27163
654	69754.67946
655	69721.03063
656	69689.80343
657	69670.32758
658	69610.6276
659	69565.81702
660	69552.33659
661	69519.05063
662	69478.78414
663	69435.92417
664	69369.14485
665	69334.59109
666	69281.96673
667	69229.59655
668	69202.86804
669	69174.44086
670	69148.36267
671	69111.29646
672	69089.14528
673	69068.58705
674	69018.85999
675	69005.88406
676	68932.44343
677	68915.74063
678	68902.76852
679	68889.1868
680	68848.81156
681	68805.10855
682	68777.71892
683	68728.24412
684	68717.51777
685	68705.86258
686	68691.85211
687	68657.12906
688	68646.79865
689	68611.17103
690	68580.16428
691	68567.03217
692	68548.61252
693	68541.76519
694	68529.23279
695	68491.43279
696	68452.8726
697	68411.32627
698	68389.73734
699	68336.97344
700	68307.00565
701	68285.83465
702	68250.87874
703	68237.00364
704	68221.2242
705	68192.99653
706	68171.06192
707	68139.58326
708	68083.84333
709	68058.07051
710	68044.00643
711	68009.99855
712	68000.30489
713	67958.55765
714	67911.03878
715	67880.49493
716	67848.07378
717	67790.42689
718	67761.0826
719	67722.95975
720	67704.23255
721	67688.76811
722	67671.20257
723	67670.78711
724	67661.68611
725	67631.42308
726	67590.96193
727	67562.45666
728	67552.71065
729	67534.92489
730	67509.16277
731	67508.67504
732	67483.37252
733	67458.5553
734	67444.0602
735	67443.54319
736	67426.68234
737	67396.03099
738	67378.87632
739	67350.37814
740	67337.4971
741	67337.05794
742	67304.06398
743	67275.14679
744	67223.14955
745	67220.37212
746	67193.7756
747	67192.76527
748	67167.06097
749	67129.7349
750	67105.66211
751	67071.22616
752	67070.79622
753	67029.28192
754	67010.03874
755	66983.00679
756	66948.31982
757	66919.79383
758	66886.11142
759	66854.20443
760	66826.86653
761	66807.14421
762	66770.1685
763	66750.71113
764	66718.98079
765	66710.85735
766	66684.23383
767	66646.3782
768	66617.80649
769	66602.65406
770	66553.28749
771	66533.1677
772	66504.81121
773	66481.4146
774	66465.55305
775	66435.27527
776	66407.75803
777	66384.17009
778	66336.73473
779	66303.45955
780	66278.88234
781	66248.86118
782	66226.37463
783	66207.91392
784	66169.38317
785	66136.1485
786	66097.16035
787	66067.75782
788	66063.26134
789	66038.63269
790	66014.92526
791	65972.08724
792	65945.03472
793	65910.36853
794	65893.11562
795	65867.49
796	65850.04536
797	65830.7317
798	65809.99072
799	65797.65145
800	65757.29331
801	65742.43341
802	65716.92948
803	65698.45418
804	65660.3831
805	65636.47058
806	65618.52521
807	65598.59133
808	65583.64259
809	65558.02191
810	65548.94153
811	65510.32979
812	65481.27462
813	65447.24443
814	65417.43347
815	65398.88775
816	65370.68153
817	65364.69616
818	65325.79775
819	65318.93927
820	65273.25742
821	65260.11265
822	65243.10336
823	65228.01186
824	65213.25462
825	65207.94823
826	65174.28356
827	65154.6322
828	65112.41582
829	65088.80938
830	65061.30853
831	65042.62325
832	65005.95866
833	64980.00629
834	64950.65503
835	64932.55787
836	64908.69962
837	64888.30767
838	64869.43243
839	64849.05237
840	64824.16412
841	64807.56519
842	64764.18573
843	64735.21565
844	64710.60397
845	64664.14558
846	64635.11739
847	64613.78253
848	64592.12856
849	64587.12665
850	64534.43295
851	64514.40693
852	64481.75219
853	64457.13441
854	64435.42852
855	64408.17774
856	64389.88696
857	64374.39212
858	64342.93908
859	64324.97914
860	64317.1634
861	64296.76816
862	64291.12247
863	64279.29707
