iter	Passed	Remaining
871	3564	523
872	3568	519
873	3572	515
874	3576	510
875	3580	506
876	3585	502
877	3589	498
878	3593	494
879	3597	490
880	3601	486
881	3605	482
882	3616	479
883	3621	475
884	3625	471
885	3629	467
886	3634	462
887	3638	458
888	3642	454
889	3647	450
890	3651	446
891	3655	442
892	3660	438
893	3665	434
894	3672	430
895	3676	426
896	3680	422
897	3684	418
898	3688	414
899	3692	410
900	3696	406
901	3702	402
902	3706	398
903	3710	394
904	3714	389
905	3718	385
906	3722	381
907	3727	377
908	3733	373
909	3738	369
910	3742	365
911	3747	361
912	3751	357
913	3755	353
914	3760	349
915	3764	345
916	3768	341
917	3772	336
918	3776	332
919	3780	328
920	3784	324
921	3788	320
922	3792	316
923	3796	312
924	3800	308
925	3804	304
926	3808	299
927	3812	295
928	3816	291
929	3820	287
930	3824	283
931	3829	279
932	3833	275
933	3836	271
934	3840	266
935	3844	262
936	3848	258
937	3851	254
938	3855	250
939	3860	246
940	3863	242
941	3867	238
942	3871	234
943	3875	229
944	3879	225
945	3882	221
946	3886	217
947	3890	213
948	3894	209
949	3897	205
950	3902	201
951	3906	196
952	3910	192
953	3914	188
954	3918	184
955	3922	180
956	3927	176
957	3931	172
958	3936	168
959	3940	164
960	3945	160
961	3949	155
962	3953	151
963	3957	147
964	3961	143
965	3965	139
966	3971	135
967	3975	131
968	3979	127
969	3983	123
970	3987	119
971	3991	114
972	3995	110
973	3999	106
974	4003	102
975	4007	98
976	4011	94
977	4015	90
978	4019	86
979	4022	82
980	4026	77
981	4030	73
982	4034	69
983	4038	65
984	4042	61
985	4045	57
986	4049	53
987	4053	49
988	4057	45
989	4061	41
990	4065	36
991	4069	32
992	4072	28
993	4076	24
994	4080	20
995	4084	16
996	4088	12
997	4091	8
998	4095	4
999	4099	0
