iter	Passed	Remaining
629	2475	1453
630	2479	1450
631	2483	1446
632	2487	1442
633	2491	1438
634	2495	1434
635	2498	1430
636	2502	1426
637	2506	1422
638	2510	1418
639	2514	1414
640	2518	1410
641	2522	1406
642	2526	1402
643	2530	1398
644	2533	1394
645	2538	1390
646	2541	1386
647	2545	1382
648	2549	1378
649	2553	1375
650	2557	1371
651	2561	1366
652	2564	1362
653	2568	1359
654	2572	1355
655	2576	1351
656	2580	1347
657	2584	1343
658	2588	1339
659	2591	1335
660	2595	1331
661	2599	1327
662	2603	1323
663	2607	1319
664	2611	1315
665	2615	1311
666	2619	1307
667	2623	1303
668	2626	1299
669	2631	1295
670	2634	1291
671	2638	1287
672	2642	1283
673	2646	1280
674	2650	1276
675	2654	1272
676	2658	1268
677	2662	1264
678	2666	1260
679	2669	1256
680	2673	1252
681	2677	1248
682	2681	1244
683	2685	1240
684	2689	1236
685	2693	1232
686	2697	1228
687	2700	1224
688	2704	1220
689	2708	1216
690	2712	1212
691	2715	1208
692	2719	1204
693	2723	1200
694	2727	1197
695	2731	1193
696	2735	1189
697	2738	1185
698	2742	1181
699	2746	1177
700	2750	1173
701	2754	1169
702	2758	1165
703	2761	1161
704	2765	1157
705	2769	1153
706	2773	1149
707	2777	1145
708	2781	1141
709	2784	1137
710	2789	1133
711	2793	1129
712	2796	1125
713	2800	1121
714	2804	1117
715	2808	1113
716	2812	1110
717	2816	1106
718	2820	1102
719	2824	1098
720	2828	1094
721	2832	1090
722	2836	1086
723	2840	1082
724	2844	1078
725	2847	1074
726	2851	1070
727	2855	1067
728	2859	1062
729	2863	1058
730	2867	1055
731	2870	1051
732	2874	1047
733	2878	1043
734	2882	1039
735	2886	1035
736	2890	1031
737	2894	1027
738	2898	1023
739	2902	1019
740	2906	1015
741	2909	1011
742	2913	1007
743	2917	1003
744	2921	999
745	2925	995
746	2929	992
747	2933	988
748	2937	984
749	2941	980
750	2945	976
751	2949	972
752	2953	968
753	2957	964
754	2960	960
755	2964	956
756	2968	952
757	2972	948
758	2976	945
759	2980	941
760	2983	937
761	2988	933
762	2992	929
763	2996	925
764	3000	921
765	3003	917
766	3007	913
767	3011	909
768	3015	905
769	3019	901
770	3023	898
771	3027	894
772	3031	890
773	3035	886
774	3039	882
775	3043	878
776	3047	874
777	3051	870
778	3055	866
779	3059	862
780	3062	858
781	3066	854
782	3070	850
783	3074	847
784	3078	843
785	3081	839
786	3085	835
787	3089	831
788	3093	827
789	3097	823
790	3101	819
791	3105	815
792	3109	811
793	3113	807
794	3116	803
795	3121	799
796	3124	795
797	3128	791
798	3132	787
799	3136	784
800	3140	780
801	3143	776
802	3147	772
803	3151	768
804	3155	764
805	3159	760
806	3163	756
807	3168	752
808	3171	748
809	3175	744
810	3179	740
811	3183	737
812	3187	733
813	3191	729
814	3194	725
815	3199	721
816	3203	717
817	3206	713
818	3210	709
819	3215	705
820	3218	701
821	3222	697
822	3226	693
823	3230	690
824	3234	686
825	3238	682
826	3242	678
827	3246	674
828	3250	670
829	3253	666
830	3257	662
831	3261	658
832	3265	654
833	3268	650
834	3272	646
835	3276	642
836	3280	638
837	3284	634
838	3288	631
839	3292	627
840	3296	623
841	3299	619
842	3303	615
843	3307	611
844	3311	607
845	3315	603
846	3319	599
847	3323	595
848	3326	591
849	3330	587
850	3334	583
851	3338	579
852	3342	576
853	3346	572
854	3350	568
855	3354	564
856	3358	560
857	3362	556
858	3365	552
859	3369	548
860	3373	544
861	3377	540
862	3380	536
863	3384	532
864	3388	528
865	3392	524
866	3396	521
867	3400	517
868	3404	513
869	3408	509
870	3412	505
871	3415	501
872	3419	497
873	3423	493
874	3427	489
875	3431	485
876	3436	481
877	3439	477
878	3443	474
879	3447	470
880	3451	466
881	3455	462
882	3459	458
883	3463	454
884	3467	450
885	3471	446
886	3475	442
887	3479	438
888	3483	434
889	3487	430
890	3490	427
891	3494	423
892	3498	419
893	3502	415
894	3506	411
895	3510	407
896	3514	403
897	3517	399
898	3521	395
899	3525	391
900	3529	387
901	3533	383
902	3537	379
903	3541	376
904	3545	372
905	3548	368
906	3552	364
907	3556	360
908	3561	356
909	3564	352
910	3568	348
911	3572	344
912	3577	340
913	3580	336
914	3584	332
915	3588	329
916	3592	325
917	3596	321
918	3600	317
919	3603	313
920	3607	309
921	3611	305
922	3615	301
923	3618	297
924	3623	293
925	3626	289
926	3630	285
927	3634	281
928	3638	278
929	3642	274
930	3646	270
931	3649	266
932	3653	262
933	3657	258
934	3661	254
935	3664	250
936	3668	246
937	3672	242
938	3676	238
939	3680	234
940	3684	231
941	3688	227
942	3691	223
943	3695	219
944	3699	215
945	3703	211
946	3707	207
947	3710	203
948	3714	199
949	3718	195
950	3722	191
951	3726	187
952	3729	183
953	3733	180
954	3737	176
955	3741	172
956	3745	168
957	3749	164
958	3753	160
959	3757	156
960	3761	152
961	3765	148
962	3768	144
963	3772	140
964	3775	136
965	3780	133
966	3783	129
967	3787	125
968	3791	121
969	3795	117
970	3799	113
971	3802	109
972	3806	105
973	3810	101
974	3814	97
975	3818	93
976	3822	89
977	3826	86
978	3830	82
979	3834	78
980	3837	74
981	3841	70
982	3845	66
983	3849	62
984	3853	58
985	3857	54
986	3861	50
987	3865	46
988	3869	43
989	3873	39
990	3877	35
991	3880	31
992	3884	27
993	3888	23
994	3892	19
995	3896	15
996	3899	11
997	3903	7
998	3907	3
999	3911	0
