iter	RMSE
462	93464.1379
463	93394.3515
464	93376.59639
465	93349.3263
466	93286.07552
467	93221.47626
468	93176.33269
469	93147.64267
470	93071.63829
471	93030.76275
472	92972.01176
473	92861.88368
474	92793.83045
475	92757.75109
476	92727.71084
477	92701.28841
478	92608.48953
479	92548.86644
480	92492.0981
481	92434.79681
482	92369.17066
483	92292.94478
484	92191.66545
485	92130.09807
486	92073.27482
487	91977.89752
488	91923.99794
489	91861.60177
490	91808.02111
491	91731.28764
492	91634.77896
493	91574.69072
494	91507.82199
495	91435.07207
496	91364.71454
497	91278.87173
498	91227.82808
499	91148.92671
500	91091.28867
501	91055.6842
502	90961.72197
503	90884.38734
504	90812.86618
505	90694.97811
506	90657.46158
507	90623.29667
508	90543.56403
509	90494.19363
510	90421.60785
511	90335.94183
512	90264.23941
513	90199.93379
514	90154.35484
515	90092.16362
516	90046.0695
517	89995.22678
518	89929.51277
519	89835.09187
520	89784.88484
521	89679.71544
522	89627.80309
523	89589.99048
524	89554.22587
525	89468.92943
526	89423.81039
527	89341.31397
528	89276.50219
529	89253.47473
530	89174.73534
531	89090.40728
532	89003.3448
533	88943.32123
534	88882.04582
535	88821.32492
536	88767.94516
537	88718.42737
538	88613.77237
539	88548.68456
540	88492.84838
541	88450.70674
542	88379.5453
543	88345.92328
544	88289.09829
545	88245.39955
546	88181.88604
547	88050.83457
548	87961.36625
549	87896.12036
550	87828.56539
551	87750.31039
552	87705.37429
553	87648.02319
554	87623.69257
555	87572.59373
556	87531.2454
557	87478.83056
558	87443.77693
559	87409.35303
560	87351.28876
561	87295.66471
562	87262.03568
563	87216.31944
564	87192.60486
565	87134.70649
566	87038.14389
567	87015.24384
568	86973.35818
569	86913.63905
570	86873.01227
571	86802.74356
572	86737.57638
573	86672.93144
574	86624.51213
575	86569.34442
576	86531.3557
577	86461.505
578	86418.36008
579	86345.5109
580	86286.66088
581	86244.47457
582	86193.15937
583	86108.32743
584	86061.73035
585	86029.95608
586	86001.99643
587	85979.1824
588	85944.25003
589	85906.84755
590	85884.46866
591	85859.15969
592	85789.84862
593	85752.36311
594	85685.81091
595	85665.85291
596	85635.87581
597	85613.96968
598	85587.74693
599	85542.57967
600	85488.71979
601	85423.95833
602	85397.03433
603	85348.55627
604	85280.74494
605	85237.13788
606	85160.36225
607	85108.10824
608	85070.41172
609	85062.67334
610	84998.98551
611	84942.21416
612	84909.26873
613	84870.62626
614	84826.30314
615	84780.91529
616	84743.12079
617	84698.00801
618	84649.87208
619	84591.75179
620	84541.08693
621	84486.66465
622	84459.57124
623	84394.59124
624	84348.2067
625	84296.21808
626	84248.22388
627	84203.70269
628	84182.39149
629	84149.3134
630	84121.45949
631	84063.67113
632	84016.85084
633	83970.1778
634	83934.57204
635	83874.06786
636	83813.37733
637	83779.34321
638	83741.16875
639	83706.62002
640	83630.83957
641	83566.27604
642	83546.85116
643	83516.88472
644	83422.32627
645	83361.25521
646	83338.10401
647	83271.07462
648	83226.91147
649	83161.16153
650	83097.74962
651	83055.841
652	82992.5689
653	82954.88882
654	82914.11926
655	82873.29614
656	82836.55019
657	82794.06513
658	82772.368
659	82723.08071
660	82665.28476
661	82614.74816
662	82586.22376
663	82540.85155
664	82498.64268
665	82448.2493
666	82398.61992
667	82370.13367
668	82305.21274
669	82250.36684
670	82217.63427
671	82168.24339
672	82146.5771
673	82133.02066
674	82078.11626
675	82044.69126
676	82006.51196
677	81967.21126
678	81939.36713
679	81893.86322
680	81881.06109
681	81802.71827
682	81779.77647
683	81759.0002
684	81686.76815
685	81641.19732
686	81606.46275
687	81533.11536
688	81503.20879
689	81475.69986
690	81450.9514
691	81421.0347
692	81402.71853
693	81358.86422
694	81330.12269
695	81296.01185
696	81266.59404
697	81232.3622
698	81199.75584
699	81165.10433
700	81132.67028
701	81107.21057
702	81061.34846
703	81013.30793
704	80984.35506
705	80941.2078
706	80906.87732
707	80883.85867
708	80853.47787
709	80797.94947
710	80764.51114
711	80708.32822
712	80676.66571
713	80651.02192
714	80608.6053
715	80576.43098
716	80552.74388
717	80522.11681
718	80486.69998
719	80416.58609
720	80361.88867
721	80328.3503
722	80314.78055
723	80272.16887
724	80248.04481
725	80198.98233
726	80178.79685
727	80149.0368
728	80129.6029
729	80105.22568
730	80076.40218
731	80064.45652
732	80038.7845
733	80015.07032
734	79966.54751
735	79933.46591
736	79888.58194
737	79854.53132
738	79796.68853
739	79771.82228
740	79751.27396
741	79724.31211
742	79687.65057
743	79639.71395
744	79614.06174
745	79593.13817
746	79551.07054
747	79511.15565
748	79493.73229
749	79435.12446
750	79400.83297
751	79355.18099
752	79309.11893
753	79293.88873
754	79267.52101
755	79233.60931
756	79214.16837
757	79194.19466
758	79145.55674
759	79116.61396
760	79090.0968
761	79061.94769
762	79051.50222
763	79027.14186
764	79003.6189
765	78970.15499
766	78959.78939
767	78934.73445
768	78927.63729
769	78907.63758
770	78876.23661
771	78858.293
772	78830.46927
773	78810.1342
774	78789.15294
775	78769.11362
776	78733.32289
777	78710.04233
778	78675.09685
779	78663.43713
780	78653.73491
781	78634.2809
782	78605.73434
783	78564.63102
784	78527.22371
785	78501.62986
786	78467.84516
787	78443.00352
788	78421.84968
789	78369.93228
790	78315.12238
791	78286.45419
792	78268.22381
793	78232.03263
794	78190.55922
795	78161.87394
796	78124.57104
797	78097.99895
798	78064.6252
799	78047.70822
800	78010.808
801	77972.72299
802	77936.58279
803	77888.89006
804	77870.09729
805	77848.12044
806	77825.02085
807	77800.37535
808	77778.10085
809	77754.97976
810	77723.3751
811	77671.54386
812	77647.54657
813	77616.77039
814	77593.98551
815	77584.19802
816	77568.92234
817	77519.73613
818	77461.30459
819	77447.89684
820	77399.81362
821	77367.71069
822	77347.61407
823	77290.62278
824	77262.52909
825	77242.0352
826	77226.93427
827	77176.83656
828	77158.18573
829	77123.37958
830	77099.0081
831	77075.06986
832	77059.27729
833	77046.36747
834	77020.0063
835	77004.28568
